"体を大きくしたいという条件の中、初期費用が3,000円であるならば、最低でもホエイプロテインでタンパク質は摂取しておきましょう。",体を大きくしたい,3000
"体を大きくしたいという条件の中、初期費用が5,000円であるならば、ホエイプロテインに加えて、トレーニングの質を高めてくれるアミノ酸であるクレアチンを摂取しておきましょう。",体を大きくしたい,5000
"体を大きくしたいという条件の中、初期費用が8,000円であるならば、ホエイプロテインでタンパク質を摂取し、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しましょう。加えて、トレーニングの質を高めてくれるアミノ酸であるクレアチンも摂取しておきましょう。",体を大きくしたい,8000
"体を大きくしたいという条件の中、初期費用が12,000円であるならば、ホエイプロテインでタンパク質を摂取し、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しましょう。また、トレーニング中などに筋肉の合成に効果がある必須アミノ酸3種を配合したBCAA、トレーニングの質を高めてくれるアミノ酸であるクレアチンも摂取しておきましょう。",体を大きくしたい,12000
"体を大きくしたいという条件の中、初期費用が15,000円であるならば、ホエイプロテインでタンパク質を摂取し、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しましょう。また、トレーニング中などに筋肉の合成に効果がある必須アミノ酸9種を配合したEAA、トレーニングの質を高めてくれるアミノ酸であるクレアチンも摂取しておきましょう。",体を大きくしたい,15000
"運動不足を解消したいという条件の中、初期費用が3,000円であるならば、筋トレで消費したエネルギーを補給するために、最低限タンパク質は摂取しておきましょう。",運動不足を解消したい,3000
"運動不足を解消したいという条件の中、初期費用が5,000円であるならば、筋トレで消費したエネルギーを補給するために、最低限タンパク質は摂取しておきましょう。また、カロリーが抑えめであり、脂質や炭水化物も少ないWPI（ホエイプロテインアイソレート）を摂取しておきましょう。",運動不足を解消したい,5000
"運動不足を解消したいという条件の中、初期費用が8,000円であるならば、ホエイプロテインでタンパク質を摂取し、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しましょう。",運動不足を解消したい,8000
"運動不足を解消したいという条件の中、初期費用が12,000円であるならば、ホエイプロテインでタンパク質を摂取し、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しましょう。また、BCAA、HMBといったトレーニング中などの筋肉の合成に効果がある必須アミノ酸を摂取しておきましょう。",運動不足を解消したい,12000
"運動不足を解消したいという条件の中、初期費用が15,000円であるならば、ホエイプロテインでタンパク質を摂取し、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しましょう。また、トレーニング中などに筋肉の合成に効果がある必須アミノ酸9種を配合したEAAを摂取しておきましょう。",運動不足を解消したい,15000
"体脂肪を落としたいという条件の中、初期費用が3,000円であるならば、脂質が低く消化吸収が緩やかなソイプロテインを間食や朝食などに摂取し、空腹の時間を減らしましょう。",体脂肪を落としたい,3000
"体脂肪を落としたいという条件の中、初期費用が5,000円であるならば、脂質が低く消化吸収が緩やかなソイプロテインを間食や朝食などに摂取し、空腹の時間を減らしましょう。また、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しておきましょう。",体脂肪を落としたい,5000
"体脂肪を落としたいという条件の中、初期費用が8,000円であるならば、筋トレをしたあとは吸収の早いホエイプロテイン、間食や朝食で消化吸収が緩やかなソイプロテインを摂取し、空腹の時間を減らしましょう。また、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しておきましょう。",体脂肪を落としたい,8000
"体脂肪を落としたいという条件の中、初期費用が12,000円であるならば、筋トレをしたあとは吸収の早いホエイプロテイン、間食や朝食で消化吸収が緩やかなソイプロテインを摂取し、空腹の時間を減らしましょう。また、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しておきましょう。また、トレーニング中などに筋肉の合成に効果がある必須アミノ酸3種を配合したBCAAを摂取し、できるだけ筋肉を落とさないようにしましょう。",体脂肪を落としたい,12000
"体脂肪を落としたいという条件の中、初期費用が15,000円であるならば、筋トレをしたあとは吸収の早いホエイプロテイン、間食や朝食で消化吸収が緩やかなソイプロテインを摂取し、空腹の時間を減らしましょう。また、摂取した栄養素をエネルギーに変えてくれるビタミン・ミネラルを摂取しておきましょう。また、トレーニング中などに筋肉の合成に効果がある必須アミノ酸9種を配合したEAAを摂取し、できるだけ筋肉を落とさないようにしましょう。",体脂肪を落としたい,15000
